0	1	2	3	4	5	6	7	8	9	10
AC080112.4	BHLHE40	KLF10	LAMA5	LINC00426	CCN1	CASKIN1	SEMA4A	PCYT2	TSSC4	ATP8A2
MAP1B	SPSB1	SNHG8	PLCH2	CA2	SLC39A10	PMAIP1	SKIDA1	TOB1	SLC9C2	COL18A1
PDE4C	NXF1	BRD2	NUAK1	NUAK2	MAFA	LINC00426	NR1D1	PMAIP1	NOTCH1	NR1D1
HOXC13	PLXNB2	ENPP1	SLC2A12	UTS2	CLSPN	SLC2A12	MUC4	PCDH9	NMU	CRKL
SMAD7	PCYT2	SLC16A10	COL18A1	DDR2	NPTX1	TEDC1	PCDH10	CASKIN1	DDR2	CASKIN1
CRKL	FAM124A	HMMR	Z98884.1	CRKL	FAM124A	BAIAP2	OBSCN	NXF1	INTS6	BHLHE40
LINC02840	TOB1	SKI	MEGF6	CLK4	CIART	CCM2L	LINC01619	PPM1N	IFFO2	LINC00426
COL18A1	LINC00426	SLC2A12	NUP93	ADAMTS1	CAV1	EFNA2	SPSB1	IFFO2	CD47	FAM124A
ING2	PLEC	INTS6	BAIAP2	FAM124A	PHF13	CHTF18	ACTN2	BRD2	PCYT2	ARHGAP9
FAM83D	INSIG1	AL590822.3	EFNA2	PLXNB2	PCYT2	TUBB2A	LAMA3	PLCH2	POLR2A	MAP1B
LINC02632	HLA-DPB1	NPTX1	AC080112.4	CCM2L	TTYH3	COL18A1	HIST1H2BJ	DUSP5	OBSCN	ING2
AMIGO2	SLC39A10	AURKAIP1	BHLHE41	NUP93	COL18A1	NOTCH1	Z98884.1	MEGF6	DLX3	FASN
DLL4	AC100800.1	NOTCH1	TUBB2A	EFNA2	TNFRSF9	PLXNB2	EGR2	LINC00426	IQCE	UTS2
CCNE2	CELSR3	CLSPN	THBS1	ENC1	FBXO5	PLCH2	AC100800.1	TUBB2A	SLC16A10	CIART
ATP8A2	MEGF6	ASPM	UTS2	INSIG1	CRKL	FASN	AL139106.1	ELAVL3	SLC39A10	CCNE2
CBX8	CRKL	LAMA3	NR1D1	TOB1	TTLL10-AS1	LINC01619	DDR2	OBSCN	FSTL3	BRD2
