"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"CCNB1IP1"	4.08835340738324e-85	1.14996061555693	0.983	0.909	9.65301123017256e-81
"KRT7"	8.60128183224139e-85	-0.969232091300598	0.993	1	2.03084865341051e-80
"DGUOK"	1.72571692129795e-84	0.759005810767602	1	0.975	4.07459022287659e-80
"EFNA1"	2.63151300487072e-84	1.39497791503283	0.904	0.338	6.21326535580026e-80
"ERVK3-1"	3.40245116543617e-84	0.981354125322346	0.914	0.374	8.03352744671135e-80
"RNASEH2C"	4.83985992768606e-84	-0.977372453123587	0.571	0.975	1.14273932752595e-79
"NDUFS2"	8.22400765534982e-84	-0.913588576483512	0.657	0.995	1.94177044750465e-79
"FDFT1"	1.64959647478332e-83	-1.02573849752119	0.601	0.971	3.89486223661089e-79
"RPL22L1"	1.83774590903535e-83	1.09158505076639	0.987	0.958	4.33910186582338e-79
"TRHDE-AS1"	3.85159362303596e-83	-1.01531725549853	0.155	0.857	9.0939977033502e-79
"MGST1"	5.37991376517878e-83	-0.871816693425046	0.904	1	1.27025143909636e-78
"RPL36A"	8.69802432755335e-83	0.49230920106165	1	1	2.05369052397862e-78
"ATF3"	9.8807532073203e-83	1.14560130476129	0.653	0.051	2.3329446397804e-78
"SNHG29"	1.29267932306847e-82	0.817081918858853	1	1	3.05214514969696e-78
"SPON1"	1.41973621808811e-82	-1.21611768784651	0.703	0.995	3.35213918452783e-78
"BEX2"	3.65961669570657e-82	-0.941985643525332	0.736	0.985	8.64072098023278e-78
"PPA1"	5.56041492842014e-82	-0.601109460235067	1	1	1.31286956874928e-77
"FAM207A"	1.10893670092476e-81	-0.937957951296247	0.234	0.904	2.61831044455345e-77
"SCD"	1.22846244982505e-81	-1.20237005952149	0.729	0.987	2.90052269028193e-77
"PSAT1"	1.33810866740355e-81	-1.05154040459084	0.314	0.918	3.15940837460652e-77
"RPL10A"	1.44591903341554e-81	-0.542013472830734	1	1	3.41395942979743e-77
"STUB1"	1.73748457782144e-81	-0.902203171450219	0.69	1	4.1023748366942e-77
"RBM39"	1.85035446118902e-81	1.04364102588732	1	0.991	4.36887191831339e-77
"ARL6IP4"	3.17688172149229e-81	-0.801318417385898	0.881	1	7.50093543261544e-77
"TAF1D"	3.56910211781117e-81	1.19165427254126	0.964	0.773	8.42700701036394e-77
"MICOS13"	5.94931544121118e-81	-0.943820685188101	0.677	0.985	1.40469286882437e-76
"MGMT"	6.92225347819154e-81	-0.909036294015742	0.611	0.973	1.6344132687358e-76
"TTC28-AS1"	1.19802233137534e-80	0.991938277578968	0.832	0.227	2.82865052661032e-76
"GSDMD"	1.20066775470504e-80	-0.944744534291883	0.191	0.858	2.83489663563407e-76
"SYNE2"	1.85267688215636e-80	-0.990529223971241	0.472	0.96	4.37435538645939e-76
"ANKRD1"	2.10486312051742e-80	1.19921168887781	0.64	0.054	4.96979231385369e-76
"HES1"	2.22103052735696e-80	1.6997763502823	0.838	0.278	5.24407517814252e-76
"YRDC"	3.60812176141364e-80	0.94452457611826	0.95	0.477	8.51913629087376e-76
"UPF3B"	4.01541922661012e-80	0.876205332140783	0.98	0.78	9.48080633594916e-76
"RER1"	5.47345770040369e-80	-0.903634241092201	0.779	0.998	1.29233809764231e-75
"PRKCI"	5.60443580439986e-80	-0.877013791786319	0.703	0.989	1.32326333777685e-75
"HAGH"	6.23181630271788e-80	-0.944251802081865	0.3	0.913	1.47139414723472e-75
"HLTF"	6.43673077701923e-80	-0.94128629917578	0.766	0.984	1.51977650376201e-75
"UQCRC1"	1.99958274853417e-79	-0.746466284260439	0.964	1	4.72121482756403e-75
"PRKDC"	3.15955330853862e-79	-0.898723793141945	0.733	0.995	7.46002131679055e-75
"OSER1"	4.57564308287388e-79	1.15247139967948	0.987	0.822	1.08035508829735e-74
"TKT"	1.25978142283936e-78	-0.780985900665112	0.957	1	2.97446991746602e-74
"TCEAL4"	1.40048526607206e-78	-0.82514609282098	0.868	1	3.30668576172275e-74
"RPF2"	1.60780108117156e-78	0.824179776536069	0.987	0.887	3.79617913275416e-74
"ANTKMT"	2.69386977673492e-78	-0.872813899998535	0.182	0.86	6.36049592984881e-74
"LGALS3BP"	4.6813290841568e-78	-0.943073832757561	0.498	0.973	1.10530861006026e-73
"VAV3"	4.696911785489e-78	-0.995435567444114	0.294	0.918	1.10898784167181e-73
"SLC3A2"	7.27253744414657e-78	0.91833437517934	0.997	0.964	1.71711881593745e-73
"TIPARP"	1.05274227041517e-77	1.01483087040202	0.802	0.205	2.48562977467725e-73
"MED10"	1.48418776004869e-77	0.699672606666226	1	0.984	3.50431572025097e-73
"NR1D1"	5.02525171515735e-77	0.937405361073617	0.624	0.056	1.1865121824658e-72
"IL6"	5.41813419614477e-77	0.903202148520484	0.607	0.042	1.27927566505174e-72
"JUNB"	6.27449475892936e-77	1.62354409343607	0.937	0.777	1.48147095753081e-72
"PGM2L1"	2.81282919977811e-76	-0.963549069309927	0.416	0.947	6.64137102359609e-72
"CYP51A1"	7.79303412320457e-76	-0.945803893831612	0.432	0.94	1.84001328682983e-71
"CCNI"	8.581290201135e-76	-0.699484265424316	0.977	1	2.02612842938999e-71
"LHX1"	1.45503209081865e-75	-1.03572481884654	0.274	0.9	3.43547626963192e-71
"POLR2L"	1.80792730720287e-75	0.693873088389191	1	0.996	4.26869716503668e-71
"NFKBIA"	2.43770601586877e-75	1.87582691440014	0.944	0.88	5.75566767406775e-71
"MAL"	3.00767170056676e-75	-1.04295492193687	0.201	0.846	7.10141365220817e-71
"SLC30A1"	3.09729222139925e-75	1.23696475025067	0.782	0.212	7.31301666394577e-71
"RNF114"	4.12507608757706e-75	0.739200211974762	0.99	0.967	9.7397171503782e-71
"ATP5MC2"	4.78626885478087e-75	-0.616836748715722	1	1	1.13008593930231e-70
"EIF4A1"	1.03397578490814e-74	0.654593951305098	1	1	2.44132022574661e-70
"FAAP20"	1.28550420988048e-74	-0.749169391256332	0.875	1	3.0352039899488e-70
"DYNLT1"	1.29854237067982e-74	-0.798752703901247	0.809	1	3.06598839141212e-70
"COPS9"	1.38942783960318e-74	0.576695944846159	1	0.998	3.28057807208706e-70
"RAI14"	1.509449407864e-74	-0.935337302945972	0.894	1	3.56396099690769e-70
"FGF18"	1.5335854562603e-74	-0.908753795346135	0.508	0.967	3.6209486207762e-70
"EID2"	1.70010373334331e-74	1.35375990399156	0.954	0.813	4.0141149247969e-70
"ZNF706"	1.81404032451893e-74	-0.845735707919828	0.719	0.995	4.28313061022164e-70
"RASSF1"	2.01994109623122e-74	0.797491364059865	0.683	0.1	4.76928292231153e-70
"LYPLA1"	2.22544840284502e-74	-0.847463490664797	0.614	0.971	5.25450622395738e-70
"RPL3"	2.50813009254487e-74	-0.45381279349361	1	1	5.92194596150769e-70
"SCARA3"	2.54643797704083e-74	-0.815888589777339	0.248	0.902	6.01239470759109e-70
"NDUFB10"	3.76077753577936e-74	-0.57509137758857	0.997	1	8.87957183972865e-70
"TMEM100"	4.36443338028028e-74	-0.968658879434497	0.036	0.721	1.03048636541798e-69
"SLC25A3"	8.37268240067978e-74	-0.547104598013368	1	1	1.9768740416245e-69
