"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ROCK1"	1.1241118124918e-15	0.420307967174168	0.905	0.739	2.6541404004744e-11
"PRPF40A"	1.24001565491941e-15	0.322790172053472	0.995	0.95	2.92780096283022e-11
"SUCLG1"	1.25058323282267e-15	0.346880369103531	0.948	0.86	2.9527520710176e-11
"DPM1"	1.46616002511262e-15	0.287743454496436	0.995	0.957	3.4617504352934e-11
"ISCA2"	1.49769328526477e-15	0.348866761490921	0.719	0.48	3.53620361583864e-11
"PSMA5"	1.53372435851689e-15	0.344265608437438	0.952	0.902	3.62127658289424e-11
"ADRM1"	1.53562458826253e-15	0.300204958787553	0.995	0.986	3.62576321534667e-11
"PSMB2"	1.53721822230915e-15	0.343641519203944	0.962	0.874	3.62952594469414e-11
"PUS7L"	1.69659315593856e-15	0.354917807274121	0.824	0.585	4.00582610048653e-11
"RBM22"	1.74522677373989e-15	0.312907030848036	0.881	0.651	4.12065493547725e-11
"CLDN7"	2.2101157599979e-15	0.383264194606004	0.938	0.863	5.21830432093105e-11
"NPC2"	2.2131410991153e-15	0.267707738512292	0.995	0.984	5.22544744912114e-11
"SYNE2"	2.52094067562256e-15	0.345967826795044	0.576	0.289	5.95219302921243e-11
"U2SURP"	2.57231039009977e-15	0.287423321318301	1	0.986	6.07348206206456e-11
"CCT6A"	2.97253115088531e-15	0.273076420688326	0.981	0.979	7.0184433003553e-11
"SLTM"	3.04828462430095e-15	0.285651867283858	0.976	0.949	7.19730482643697e-11
"SINHCAF"	3.15216470397926e-15	0.300921527789251	0.995	0.906	7.44257608256542e-11
"ARPC3"	3.25495555421777e-15	0.254051485587295	1	1	7.68527555906358e-11
"CFAP298"	3.41564078055119e-15	0.302283616535594	0.981	0.954	8.06466944695941e-11
"NIPSNAP1"	3.92722780519127e-15	0.355971490782461	0.748	0.496	9.27257757083711e-11
"ERGIC2"	4.45882568836245e-15	0.324652503370326	1	0.95	1.05277333327926e-10
"MT-CO1"	4.64757054262741e-15	0.391647942630815	1	0.988	1.09733788081976e-10
"GRB2"	4.91310390161116e-15	0.352728192102216	0.914	0.75	1.16003296220941e-10
"ACAP2"	5.18011613477447e-15	0.378610504826119	0.848	0.674	1.2230772205816e-10
"CCDC186"	5.47772980132836e-15	0.323688550072782	0.848	0.603	1.29334678339164e-10
"MT-CYB"	5.66274675566603e-15	0.377293595867702	0.995	0.982	1.33703113648031e-10
"DNAJC7"	5.93821911194247e-15	0.358245761959607	0.895	0.739	1.40207291452074e-10
"MT-ND1"	8.26638918609304e-15	0.47822542348775	1	0.977	1.95177715072843e-10
"TERF2IP"	8.45772656835742e-15	0.344056097208907	0.89	0.691	1.99695382005487e-10
"TMEM208"	8.68849384246739e-15	0.255912952134936	0.995	0.973	2.05144028114498e-10
"DHX36"	9.15863745144124e-15	0.294003678658541	0.986	0.915	2.16244588865979e-10
"TRIP11"	9.7265642587919e-15	0.351876371356082	0.905	0.693	2.29653908714335e-10
"TKT"	1.03036528778417e-14	0.378789219135433	0.867	0.75	2.43279548098719e-10
"MRPL21"	1.09905889458303e-14	0.310534854532778	1	0.977	2.59498795599998e-10
"SMNDC1"	1.11694589888472e-14	0.326014559568569	0.957	0.853	2.6372209618567e-10
"PRDX5"	1.15885973093207e-14	0.256791984860873	1	1	2.7361837107037e-10
"CDC40"	1.25706192894858e-14	0.341875845418594	0.886	0.713	2.96804892044049e-10
"COMMD2"	1.28650586325362e-14	0.343305653827167	0.91	0.8	3.03756899372812e-10
"HNRNPL"	1.86470509216326e-14	0.329597762477181	0.914	0.746	4.40275519310666e-10
"PSMG2"	1.90505457186062e-14	0.30241379020589	0.938	0.817	4.49802434962011e-10
"TSEN34"	2.38414209218586e-14	0.276025271991478	0.99	0.972	5.62919789386004e-10
"LZIC"	2.40927210216238e-14	0.264118885785651	0.995	0.975	5.6885323604156e-10
"PSMD4"	2.46680323696403e-14	0.30250458659505	0.981	0.968	5.82436912279578e-10
"DCUN1D1"	3.25361898548616e-14	0.317395921488215	0.943	0.805	7.68211978663136e-10
"SRSF11"	3.36297304655776e-14	0.272290551326722	1	0.993	7.94031566022752e-10
"COPB1"	3.81280487641471e-14	0.298573129604284	0.81	0.544	9.00241359370277e-10
"PRPF4B"	4.70502292075079e-14	0.314245597714509	0.919	0.736	1.11090296181847e-09
"CRCP"	4.95317425213304e-14	0.292513824939789	0.686	0.406	1.16949397267113e-09
"HSD17B10"	5.01066909904225e-14	0.277597079854488	0.986	0.979	1.18306908097486e-09
"DNAJC21"	5.86669507024801e-14	0.320441970833983	0.981	0.952	1.38518537303626e-09
"NPM1"	6.71256147131451e-14	0.269072057310029	1	1	1.58490288899207e-09
"ZNF326"	6.9424570177446e-14	0.327589363043636	0.814	0.585	1.63918352645968e-09
"PIN1"	7.1461560356289e-14	0.34150450129716	0.738	0.502	1.68727890157234e-09
"DCTN3"	7.22600874770871e-14	0.29576619085174	0.971	0.91	1.7061329254215e-09
"AURKAIP1"	7.27193223909542e-14	0.274689698503452	1	1	1.71697592097282e-09
"RAD21"	9.88422797244171e-14	0.321875126825926	0.981	0.968	2.33376506657321e-09
"CHURC1"	9.98811857143915e-14	0.267742738833132	0.981	0.966	2.3582946759025e-09
"DNMT1"	1.05692304407037e-13	0.341699062501459	0.91	0.748	2.49550099935455e-09
"MPHOSPH10"	1.1479086933433e-13	0.345377014964173	0.8	0.58	2.71032721585287e-09
"ARMCX3"	1.20878170332092e-13	0.362278759442117	0.833	0.601	2.85405447971103e-09
"METTL23"	1.28456119686236e-13	0.351164696706156	0.786	0.574	3.03297744191171e-09
"KRAS"	1.42036385245639e-13	0.282634810604378	0.995	0.95	3.35362109203478e-09
"CASP8AP2"	1.80198970912671e-13	0.312020137972315	0.586	0.316	4.25467790221907e-09
"MTRNR2L12"	1.83607962778993e-13	0.591602197069235	0.719	0.52	4.3351676091748e-09
"CALR"	1.8983716561288e-13	0.285147990768423	1	0.954	4.48224531728571e-09
"MED19"	2.36868221294481e-13	0.312868134631145	0.924	0.752	5.59269557298398e-09
"NUDC"	2.48060474140285e-13	0.349556374726372	0.838	0.704	5.85695585492627e-09
"DLGAP5"	2.6061700715909e-13	0.41292793937554	0.671	0.433	6.15342815603328e-09
"MIER1"	3.00766114260368e-13	0.284894697339707	0.876	0.668	7.10138872380156e-09
"MAN1A2"	3.48112975749976e-13	0.307378322427505	0.895	0.77	8.21929547043268e-09
"SKIL"	3.6313767250258e-13	0.316239871458514	0.981	0.915	8.57404358545841e-09
"SMC4"	3.70158791237788e-13	0.314846895665862	0.99	0.984	8.7398192199154e-09
"N4BP2L2"	3.74551386743568e-13	0.316352098606379	0.686	0.42	8.84353279240237e-09
"CALM1"	3.87008045978631e-13	0.261408068862569	0.99	0.965	9.13764697360146e-09
"ST13"	3.89616594163919e-13	0.270589791713419	0.986	0.929	9.19923740480429e-09
"PCMT1"	4.50032975131294e-13	0.321656278057893	0.905	0.771	1.0625728575825e-08
