"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"EPB41L4A-AS1"	4.99561764588278e-222	1.26675584887039	0.956	0.654	1.17951528236938e-217
"FADS1"	5.44607158530708e-222	-1.07864503054892	0.553	0.967	1.28587196200686e-217
"GSTP1"	1.58768130658408e-221	-0.578081621925182	1	1	3.74867433297568e-217
"SLC25A3"	6.10777285388741e-221	-0.633319190492143	0.998	1	1.44210624853136e-216
"HAGH"	8.46960446303281e-220	-0.940354868557156	0.304	0.903	1.99975830976668e-215
"TP53INP1"	3.5191167328674e-219	-1.0589611982332	0.119	0.774	8.30898651797322e-215
"EIF5"	4.30038233381406e-219	1.01805523695283	0.996	0.977	1.01536327283684e-214
"PRKCI"	1.60751410148953e-218	-0.977488511203556	0.692	0.991	3.79550154502693e-214
"FBXO2"	4.30888886816373e-217	-1.12174639438785	0.468	0.945	1.01737175066214e-212
"MFSD10"	3.80507132654673e-216	-0.957031552268347	0.467	0.95	8.98415390910948e-212
"SNHG17"	5.56556898778831e-216	1.98763576021118	0.924	0.558	1.3140864937067e-211
"GPX4"	6.73641772253378e-215	-0.649850500434351	1	1	1.59053558846745e-210
"UQCRC1"	3.18619069322006e-214	-0.788409344693543	0.94	1	7.52291484576189e-210
"PPA1"	9.76102078231966e-214	-0.665912814664209	1	1	2.3046746169135e-209
"LAMTOR4"	2.1832487332795e-212	-0.764079088456793	0.923	1	5.15486858414623e-208
"FAAP20"	6.26875495222739e-212	-0.813135535295433	0.887	1	1.48011573177041e-207
"SURF1"	8.57286216409705e-212	-0.877564212686355	0.681	0.981	2.02413848556495e-207
"EEF1G"	1.87394180964905e-211	-0.470522661791657	1	1	4.42456400676236e-207
"MICOS13"	2.39407214090521e-211	-0.884212099855888	0.721	0.99	5.65264373189129e-207
"DYNC1H1"	2.85226786210038e-211	-0.944070674339384	0.659	0.982	6.73448964920521e-207
"ID3"	2.67399661342666e-210	1.38170626240112	0.928	0.417	6.31357340396169e-206
"KCNK15"	2.87970324044788e-210	-1.28637584530512	0.374	0.9	6.79926732102149e-206
"GSDMD"	1.14738256382285e-209	-0.831453919156437	0.162	0.795	2.70908497144214e-205
"HLTF"	1.154845064881e-209	-1.00595096806321	0.64	0.988	2.72670468269052e-205
"RPL38"	4.05305827898904e-209	0.48163606354702	1	1	9.56967590252101e-205
"AGTRAP"	4.18920641900703e-209	-0.863184104305297	0.55	0.964	9.89113527591749e-205
"TKT"	6.32071727651992e-209	-0.846013189576876	0.887	1	1.49238455615912e-204
"PDIA6"	2.87170096496162e-208	-0.820841415771742	0.922	0.999	6.78037314837089e-204
"FASN"	4.00027900137262e-208	-1.02237508020617	0.74	0.981	9.44505875014089e-204
"PSAT1"	5.00691843894376e-208	-1.0832825979425	0.336	0.876	1.18218351261901e-203
"PDIA3"	5.10696065165998e-208	-0.868672824854696	0.836	0.996	1.20580447946344e-203
"SNHG5"	1.5064453558543e-207	0.852790997490885	0.999	1	3.5568681297076e-203
"NECTIN3"	1.89022789976137e-207	-1.04603167354542	0.276	0.863	4.46301709412656e-203
"SLC34A2"	3.40296294806411e-206	-1.1298767489218	0.395	0.953	8.03473581667417e-202
"CYBA"	3.40928279612656e-206	-0.829381232700519	0.95	1	8.04965760993443e-202
"FTL"	9.18731861097965e-206	-0.821171970191554	0.997	1	2.16921779723841e-201
"PSMC5"	9.85347142851761e-205	-0.699741917844552	0.98	1	2.32650313898729e-200
"SLC25A6"	2.20669056198331e-204	-0.798107366835809	0.908	0.998	5.21021708589879e-200
"HSPA8"	2.21231758370962e-204	-0.810285976439943	0.974	1	5.22350304689678e-200
"TIMM17A"	2.9255185004405e-203	0.706842850968589	0.997	0.968	6.90744173139007e-199
