Combo_0	Combo_1	Combo_10	Combo_2	Combo_3	Combo_4	Combo_5	Combo_6	Combo_7	Combo_8	Combo_9	DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9
ZNF490	RIF1	AGO2	ID1	HK2	MRC2	CRK	MAPKAPK5	ENC1	ZNF546	AC105219.4	AKAP12	COL18A1	TTC3	RAB11FIP4	TPCN1	ATRX	MICAL3	UACA	WDR17	POLR1A	CATSPER2
ESCO2	SAMD4A	ZNF335	SKIL	AMOTL2	TNPO2	AKAP8L	ZFX	BRIP1	H2AFX	LATS2	LIME1	IFT88	PLXNB1	CYB5D2	TRNT1	IGFBP2	CATSPER2	LONRF2	ZNF254	RORA-AS1	CP
ROCK2	ZZEF1	CCDC18	CREBRF	FNDC3B	POGZ	AC012291.3	ITGA3	TAF3	ZNF562	PTCD3	SPON1	NABP1	CD47	SOGA1	RORA-AS1	LINC00630	RAB11FIP4	IGFBP2	NFKB1	NHS	ABCA1
CCDC85C	LUC7L3	NACC1	NOM1	SKI	COL27A1	NACC1	AGO3	HMMR	SNIP1	BAHD1	IGFL2-AS1	ZYG11A	HDAC7	PRDM5	PRPF38B	ASPM	TRIP12	CCNJL	TSHZ1	PLAU	SOGA1
GABPA	LIME1	CDC42BPA	ZNF778	ARHGEF17	GABPA	ZNF708	TLE4	ZC3H13	ATAD5	STK11IP	MAP3K8	NMU	RABGAP1L	TTC3	XRN1	WSB1	AKAP12	DYNC2H1	AKAP12	CCDC18	DHCR24
AC010422.2	NFATC2IP	ZNF224	ID4	AL353759.1	CRK	KLHL29	FLCN	SMC4	AATK	SKIL	PLAU	RIC8B	ADGRV1	RIC8B	ATF3	IPO7	BOD1L1	WSB1	PGM2L1	ITPR2	IGFL2-AS1
GOLGB1	ZNF335	CEP164	CIART	GADD45B	RFX3	DYRK1A	MIGA2	LAMA5	ZNF335	ID1	MUC16	LONRF2	GABPB2	RNF207	ATP8A1	CPLANE1	CYB5D2	DIS3L2	RFX2	KRT19	EZR
NXF1	AGO3	RCC1	OGA	PDGFB	FBXO10	TNPO2	MRC2	PRR14	BPTF	SMAD7	AKAP9	ZNF254	BAZ2B	ZNF254	HOXA3	DYNC2H1	NEAT1	PRKD3	LINC02004	RNF215	NINL
CIART	RCC1	CHD2	CRK	CCDC85C	CRABP2	TOP2A	ZNF440	RELT	KMT2D	MED13	DNAJC27	HMGCS1	CATSPER2	ZYG11A	LRRC75A	CCDC171	TAF3	CP	RIC8B	HMGCS1	SHROOM3
KRT19	AC068282.1	ARFGEF2	TEAD1	DOP1B	PPIL2	ATP13A3	SLC9A1	ID2	GABPB1	BHLHE41	DHCR24	HSPA5	PIK3CA	NHS	SREBF1	CEP152	MEX3A	ARHGAP42	UGGT2	KANTR	IGFBP3
MGA	TMC6	ZSWIM8	COL27A1	NDUFC2	TMEM259	CELF1	ZFC3H1	ARRDC4	CATSPERG	ID2	ATF3	PIP5K1A	CCDC171	NABP1	ABCA1	PRKD3	LINC00630	DENND5B	CEP152	CDK1	SPATA6L
ZNF570	SURF6	ZNF655	BPTF	ZSWIM3	SKIL	RBM5	SURF6	INTS6	PRRC2A	ZNF778	MARCKS	CYB5D2	DST	COL18A1	PTAR1	RABGAP1L	MUC16	LIPG	AC061992.2	ARFGEF2	ZNF598
ZBTB40	ZNF655	CATSPERG	S100A2	SLC30A1	NUP153	PHF12	ZZEF1	CIART	TMC6	CSPP1	AC090469.1	SAMD4A	ULK1	WSB1	AC048341.1	FAM83D	IFT172	H6PD	FBXL4	SLC8A1	MKI67
ID1	RBM25	COL27A1	PRKAA1	NFKBIA	GABPB1	ZNF546	S100A6	PHIP	SURF6	KMT2D	AC009495.3	SPON1	IPO7	MKX	TSHZ1	HSPA5	CPM	SMURF2	ZNF709	LONRF2	AC138150.1
FBXO5	NUFIP2	CELF1	VLDLR	AGRN	AC068282.1	CENPF	AC012291.3	SCAF8	RCC1	ZSWIM4	MDM4	RNF207	FBXL4	BCAT1	RAPGEF3	KANTR	ARFGEF2	SPOCK2	AUTS2	SHROOM3	ARHGAP29
PAN2	TMEM259	SELENOI	TNPO2	BHLHE41	NACC1	ZNF625	PRR14L	UBE2C	BRD1	ELF3	MLH3	WSB1	TXNIP	IFT88	NEAT1	CCDC18	PGM2L1	MFSD14C	DIS3L2	SMURF2	TPRN
