DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	RACi_0	RACi_1	RACi_10	RACi_2	RACi_3	RACi_4	RACi_5	RACi_6	RACi_7	RACi_8	RACi_9
SLC16A5	RNF215	MAP3K10	L1CAM	HIST1H2BD	IGFBP2	VPS13A	SMURF2	AUTS2	MORN1	MAP3K10	ZNF335	MIER3	ZC3H13	CRISPLD2	OBSCN	ZBTB40	RBM5	CATSPERG	PTGER4	LIPG	KDM5C
DNAJC27	NMU	XRN1	RAB11FIP4	AKAP9	ATRX	DIS3L2	ANKRD36C	MKI67	SMURF2	NINL	ZSWIM4	HMGB3	ANKRD1	PAN2	TSPYL2	PPIL2	CRK	AC010422.2	ERVK13-1	AP000763.3	CIART
MFSD3	KANTR	THEMIS2	TSHZ2	PTAR1	HOXA3	GCC2	CYB5D2	WASHC2A	ITPR2	SLC16A5	PTTG1	NOM1	LZTS2	ATXN2L	CRISPLD2	RIF1	ERVK13-1	RSRP1	NXF1	NOP2	SHB
AKAP12	THEMIS2	DST	SEMA3B	SNX21	FAM83D	TXNIP	SPOCK2	ZNF362	ZMYM6	CENPF	MGA	SLF2	AC010422.2	ID4	AURKA	NUFIP2	NUP160	TSHZ2	SLC43A2	BDP1	UBE4B
PRR14	ITPR2	GABPB2	KANTR	RAPGEF3	MFSD14C	RHOBTB1	INPP5B	MORN1	ANKRD52	NEAT1	CFAP53	RCC1	SCAF1	ESCO2	SPEN	KDM5C	PAN2	PRR14L	CSPP1	ZNF490	GATA2
ZNF346	INPP5B	MYH9	FANCL	ANKRD36	INPP5B	HIST1H2BD	MTR	AURKA	PIP5K1A	VPS13A	SKIL	ZNF224	CRAMP1	OGA	KRT19	ZNF546	TOP2B	RBM4	GLCE	AL353759.1	ZSWIM8
GLCE	NABP1	DACH1	SCAI	WSB1	CCDC77	GAB1	RNF215	ANKRD36	MNS1	NFATC2IP	MCM7	KMT2D	HSP90AA1	THAP7-AS1	S100A2	AHCTF1	ESPL1	RBM25	CMYA5	PRRT2	ZSWIM4
MDM4	LAMA3	FAM83H	ZNF362	ARFRP1	HSPA5	AKAP12	ADGRV1	ABCA1	CDK1	WSB1	SMAD7	NDUFC2	PTTG1	TOP2B	ARID4A	ACTG1	RBM25	RIF1	MEIOB	ZSWIM8	NLK
BCL2L11	MAP3K10	VPS13A	TXNIP	TSHZ1	AC138150.1	CD9	BAZ2B	SLC30A1	SAMD4B	WASHC2A	UBR5	CIP2A	TRIO	CIART	PTGER4	AC068282.1	CRAMP1	PTTG1	SLC7A7	TNPO2	NUP153
HSPA5	PPM1L	AC012123.1	CPEB3	AC048341.1	KANTR	BMPR1B	SETX	CCDC191	AC061992.2	TP53INP1	AC010422.2	LUC7L3	RCC1	CAV1	NFKBIA	UBR5	NUFIP2	IVNS1ABP	PRR14L	MAP3K8	BEX2
ATXN7	CEP290	HDAC7	RORA	SLC30A1	UACA	ARFRP1	CCDC150	CDH6	ZFYVE9	CCDC77	ZBTB40	RSRC2	ZFYVE16	NDUFC2	BRIP1	NUP153	ENC1	SURF6	CXCL1	SAV1	GABPA
ENDOU	SAMD4A	UACA	CATSPER2	LINC00630	MSL2	PGM2L1	TXNIP	STOX2	KANTR	BRF1	NUP160	RBM4	IVNS1ABP	FNDC3B	TAF4B	ZRANB2	ROCK2	ZRANB2	PPM1B	KCNMB3	ID4
BCL9L	HIST1H2BD	WSB1	NABP1	WFDC2	ZNF367	CCDC18	IGFBP2	CCDC150	PRDM5	MKI67	NLK	ZNF34	TNRC6A	CAMTA1-DT	PIK3R3	SKIL	AVIL	NUFIP2	RIF1	RHOT2	LUZP1
ZNF598	PRDM5	AMOTL2	ANKRD36	SH3GLB2	AUTS2	SLC16A5	IKBKB	CYB5D2	STOX2	GATD1	ELF3	TRIO	AATK	GATA2	ROCK2	SNAPC1	YTHDC1	LUZP1	WDR47	USF1	OTUD7B
TNF	H6PD	LENG8	INPP5B	PRDM5	ZNF362	SCAPER	TRIM66	IER3	CCDC18	ARHGAP29	CIART	MSL2	SURF6	DCAF5	EDN1	PAN2	CEP192	NUP160	GADD45B	USP43	PCF11
AC090469.1	COL18A1	HERC2	SYNE2	FLG	CCDC18	ANK2	CD47	GLCE	CIP2A	AC061992.2	TPR	YTHDC1	BPTF	CREBRF	HMGB3	IVNS1ABP	ASH1L	BRIP1	UBE2C	ANKRD52	BMF
ABCA1	PPM1B	BAZ2B	NFATC2IP	KCNMB3	GABPB2	ZFYVE9	PPM1B	WDR47	PTHLH	TATDN3	SLC12A7	ATXN2L	SNHG15	ZNF570	TET3	AATK	PRRC2A	ZNF490	OTUD7B	ZC3H13	SURF6
PRDM5	HOXA3	PEX1	H6PD	CD9	RORA	IGF2BP2	CATSPER2	H6PD	PPM1B	NBEAL2	CASKIN1	AATK	C1orf159	GADD45B	SCAF1	KIF20B	ZNF708	SCAF1	SOX6	SETD1B	TLE4
WASHC2A	PIP5K1A	ANKRD36	IKBKB	SLC16A5	RUNX1	TRIM66	ZNF697	ZKSCAN8	HMGCS1	DSEL	FNDC3B	ZNF562	NFKB1	BDNF	ZNF490	ZNF570	RSRP1	SETD2	ENC1	EDN1	AL353759.1
RAVER1	HMGCS1	IFT172	THEMIS2	ZBTB7A	PPM1B	L1CAM	NMU	ANKRD23	SH3D21	LIG1	TOP2B	GOLGA8A	CEP290	BHLHE41	AC105219.4	CCDC18	GOLGA8B	GOLGA8A	MCF2L-AS1	GOLGA8B	ANKHD1
SUOX	ZMYM6	FANCL	XRN1	L1CAM	KNTC1	NHS	ZFYVE9	IGFBP3	ESPL1	ANKRD36	TLE4	NUP153	RSRC2	ID2	FAM83D	CCNL2	ZNF292	RSRC2	SLC9A1	ELF3	ZC3H13
LHX1	BRWD3	CEP97	SPOCK2	PGM2L1	CATSPER2	ZNF362	MRPS25	NAALADL2-AS2	POLG2	TRIM66	ZNF780B	LIME1	LENG8	NFKB2	CCDC186	RSRC2	FANCM	BOD1L1	ATRX	ANKRD23	CAMTA1-DT
