DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	EZH2i_0	EZH2i_1	EZH2i_10	EZH2i_2	EZH2i_3	EZH2i_4	EZH2i_5	EZH2i_6	EZH2i_7	EZH2i_8	EZH2i_9
SPACA6P-AS	LAMA3	ACTN4	PSAP	WDR17	CEP128	ACTN4	HDAC7	FTX	MIDN	INPP4B	CPLANE1	PUM2	RAI14	AL353759.1	CANX	POGZ	MSL2	KANSL3	S100A2	PIGZ	SPG11
AKAP9	USP54	AURKB	BOD1L1	TUBA1C	KIF11	HOXA3	SIPA1L3	MRTFA	UGDH	MPP3	ZNF780B	TUBA1A	PUM2	MBNL2	PHF12	STIL	SOGA1	MBOAT1	ABL1	ATXN2L	BCL2L1
MEGF6	SAT1	UGDH	ZNF217	CYBA	OPHN1	CCND1	IER3	TAB2	CCND1	ANKRD1	KIFC1	CCDC6	AZIN2	MAP3K2	SLC12A7	NUP160	ZNF292	PUM2	TAB2	LINC00685	PLAU
TRAF5	TTC3	PLEC	SLC38A2	PRPF38B	CENPF	KIF18B	RABGAP1L	NAALADL2	ZNF217	GATA2	ADCY3	CBLB	ECE1	PUM2	PSAP	TANC2	KIF20B	LYST	ERMP1	AC138150.1	SMC4
CRABP2	LRPPRC	CCDC85C	MEOX1	FN1	HELLS	SOS2	CDK6	CTH	SKI	SCN2A	STX1A	RIPK4	TUBA1A	SOGA1	TROAP	KPNA2	AGO3	NINL	RIPK4	KRT19	SLF2
AC090469.1	SETX	SSBP3	ELF3	ZMAT1	DLGAP5	SKI	ALS2CL	NEK7	LRPPRC	FBN2	ZBTB18	ZNF292	TP53INP1	PHF21A	C3	UNK	CHD6	LGR4	LINC01473	FBXO44	FTH1
ITGA3	PNPLA7	SNTB1	CCN2	CLU	CCDC150	ATG4B	IVNS1ABP	TUBB	SMC1A	SDC4	ARHGEF26	SETX	TNK2	SETD2	GAK	POLA1	TOP2A	AR	CDK6	LIPG	CKAP2
PLXNB2	ZNF217	ASB16-AS1	H2AFX	MIDN	ZYG11A	H2AFX	RAD54L	ZNF354B	PRRT2	FAAP24	BDP1	MAP3K2	CPEB3	BAZ2B	RBM5	IQGAP3	LGR4	PAX8	HMGCS1	NOD1	CDCA8
PRPF38B	TPCN1	PLXNB1	TM4SF1	SLPI	OSBPL11	NEURL1B	LRPPRC	TTC3	SLC48A1	SMC4	SLC12A7	NINL	RNF215	BPTF	STX1A	EYA4	KANTR	GDPD5	PTPRM	KMT2D	BRCA2
IGSF9	TEAD1	NDOR1	ARHGEF3	MAP3K10	FHL2	FAM122B	ASB16-AS1	LRPPRC	SIPA1L3	TTYH3	CDC27	YEATS2	PBX1	ABL1	CCDC186	MIS18BP1	MED13	VPS13B	NMU	DMPK	PANK3
SLC9A3-AS1	DNAJC5	SLC4A11	RAB11FIP4	FBXO44	TPX2	PIKFYVE	GABRE	TXNIP	CYBA	SPOCK2	ZNF655	KMT2C	SOGA1	TNRC6B	SLC38A1	KIFC1	POFUT2	SLF2	MAL	GSE1	TPR
ENDOU	ZYG11A	CUEDC1	FAM168B	RECQL5	ZCCHC8	MAPK1	E4F1	PLLP	LAMA5	CLDN1	PAX6	ACAD11	SCD	LRBA	ZBTB18	RBMS2	GDPD5	HDAC7	BCAT1	MDN1	TSHZ2
FKBP11	RNF207	TXNIP	ATXN2L	AMOTL2	CEP85	AHDC1	CCN2	SSBP3	SUGP2	NDRG1	CHD3	ERBB4	CP	CCNL1	DDB1	THAP9	OGA	NFATC2IP	MAP3K15	SLC9A1	CLSPN
LINC02422	FAR1	PIK3CA	XRN1	CLCN2	TENT4A	LRP5	SMG5	RPL34	PPIB	IGFL2-AS1	PARP14	MSL2	BMF	AR	PABPC1L	ATAD5	RSF1	NAA25	PBX1	MFSD14C	DENND3
FN1	CUEDC1	CCND1	CAPN12	DPY19L3	SKA3	MSI2	ADAMTS14	SDC4	MSLN	CAPN12	SLC26A7	KANSL3	MSL2	HDAC7	MALAT1	POLE	CDC42BPB	TP53INP1	TP53INP1	GOLGB1	ANKRD1
STON2	SIM1	SOS2	HDAC7	MALAT1	XRCC3	TNPO2	DOCK3	S100A1	ARRDC3	BRF1	SMC4	SEMA3B	PIP5K1A	KIAA2026	DYRK2	FUT9	UBR5	ERBB4	MEOX1	RC3H1	FLCN
GATA2	PIP5K1A	ULK1	CA2	NEURL1B	NUP160	CRABP2	HSPA5	KRT19	LIMD1	LINC02594	MSLN	AR	PHF21A	INTS4	FLG	LUC7L3	MAL	COL27A1	IPO7	GIGYF1	GRAMD2A
AL133523.1	SLC48A1	TPCN1	ZKSCAN1	ATRX	TPCN1	IQGAP3	KLHL29	INPP4B	DMPK	FAM168B	CEP78	PIP5K1A	MBNL1	NAA25	PAX6	ANKRD36C	TET3	CABIN1	TTC3	NASP	UBXN7
BHLHE41	CMYA5	RNF139-AS1	SAT1	ZFYVE16	UBE2C	WSB1	SPOCK2	AL021392.1	DDX39B	CYBA	ABCD4	MSI2	TMEM100	UBE2G2	RIPK4	SLC8A1	AGO2	ERBIN	CCDC7	SMC1A	FUT9
CEP78	IER3	SIM1	TRPC4AP	BHLHE41	TM4SF1	LRPPRC	DHCR24	UBA1	KHDC4	IGSF9	FAM160B2	HDAC7	PRC1	ARHGEF17	KDM5C	IPO7	NUFIP2	COL18A1	MIER3	CNTROB	PRKX
CLU	TANC2	ZNF398	OSBPL10	ZSCAN30	SIPA1L3	GCN1	PAX8	PCLO	NASP	SAT1	QSOX2	VPS13B	BANP	OPHN1	ETNK1	SCAPER	DIP2B	RABGAP1L	CDA	SIM2	STIL
EZH1	ATXN2L	CDH6	SEMA3B	ZNF282	SMG5	DNAJC5	MCM7	IFT140	FZD4	BHLHE41	GATA2	BPTF	CABIN1	TEAD1	AC025048.4	ERBB4	ARHGEF17	KHDC4	CXCL1	NDOR1	ANKRD10
DDX11	OSBPL11	TM4SF1	TRAK1	AL021392.1	TNPO2	IER3	RNF207	GAB1	PKN3	ELF3	RBM5	BAZ2B	CCDC6	LAPTM4B	CP	CCDC150	CCDC150	JUP	CD47	TACC3	DST
ANKHD1	CCN1	GABRE	DNAJC5	AL353759.1	KIF14	FBXL19	ELF3	PNPLA7	TOP2A	TNFAIP2	STON2	PBX1	NAALADL2	PRICKLE2	U2SURP	EHBP1	JUP	SYT1	ZBTB44	POFUT2	IVNS1ABP
AGO1	TPTE	MCM7	TEAD1	IGFBP3	CEP295	JUP	DNAJC5	NDUFC2	TMC6	CENPF	PABPC1L	ARMH1	RNF213-AS1	ANKRD6	TRIM38	YEATS2	ZFX	PTBP2	SELENOP	SYNE2	PCNX2
S100A2	RAPGEF3	IGFBP3	SOS2	RNF169	FAM122B	SPEN	ARHGAP39	IPO7	DOCK6	PLD2	CLU	ARRDC3	MBOAT1	ETNK1	TSPYL2	KPNA1	TET1	SOGA1	TOP2B	GRAMD2A	CDC42BPB
CA2	AMOTL2	FZD4	L1CAM	PABPC1L	ATRX	ZNF217	IGFL2-AS1	MEOX1	GSE1	CXCL8	IGFBP3	GGT7	NINL	JUP	MAL	SIPA1L3	MARCH6	BANP	LRP5	CDC42BPB	MAN1B1
CREBZF	DYRK1A	AC090469.1	YTHDF1	LUZP1	CCDC14	CCDC150	USP54	DNAH5	ZDBF2	RPL12	H2AFX	RABGAP1L	CUEDC1	CHD6	S100A2	SOGA1	WSB1	FAT3	NDUFC2	ERVK13-1	DCAF12
FSTL1	CAPN12	CCDC191	ST14	CPSF7	MCM8	PCF11	RBMS2	CANX	RNF139-AS1	LINC02422	RPL12	PAX8-AS1	CHD3	GCN1	LGALS3BP	XRCC3	RBM33	TNRC6B	TRIM44	SMG5	TNFAIP2
ARRDC4	ARFGEF2	ASF1B	CELF1	GPX3	POGZ	LGALS3BP	TM4SF1	CCDC6	SH3D21	LYST	CLSPN	DST	DNAJC5	SMG1	HOXB3	C1orf159	BCAT1	ZFX	CPEB3	TMEM154	STON2
PHLDB1	ANK2	SGSM2	SLPI	ENDOU	POLE	KLF10	CSRNP1	PBX1	SLC9A1	ALS2CL	PIGZ	SOGA1	BAZ2B	DIP2B	KIF2C	DST	RIPK4	TENT4A	STT3B	LAMA5	RPL12
ZSWIM8	SREBF1	PTPRM	GCN1	PHF2	TMBIM6	KMT2D	MSLN	NEURL1B	FAAP24	HSPA5	GPSM2	SETD2	DCAF12	SIK3	DCP2	E4F1	EYA4	PCNX2	TPX2	CLEC16A	CCDC157
YOD1	PARP14	SPACA6P-AS	DOCK6	OGA	ASPM	MCM7	ZNF708	C19orf44	IER3	ADAMTS14	ZMIZ2	RUFY3	RANBP9	POFUT2	UBN2	PTBP2	ZYG11A	ARHGEF17	DLGAP5	KIF2C	VLDLR-AS1
ZSCAN30	TRPC4AP	LMO3	UBE2G2	SMC4	SLFN13	CLCN7	DYRK1A	ASPM	HDAC7	UGDH	KLHL24	BRWD1	RBMS2	SLC38A1	PLXNB2	GPR156	GPC2	HECTD4	ECE1	TENT4A	NUMA1
TCIRG1	RNF150	FHL2	SPON1	AL133410.1	USP54	ASB16-AS1	SREBF1	RNF213-AS1	SYNE2	PAX6	ANKRD36	LRRK1	THAP9	EYA4	IVNS1ABP	MICAL3	RFX3	YEATS2	CBFB	HJURP	TEP1
TOP2A	NEK7	SALL4	ELL2	USH2A	ARHGEF3	MIDN	WASHC1	AURKB	POLR1A	MAPK1	GAK	UBE2G2	TPCN1	MSI2	FBXL19	ACACB	DST	SETD2	POLA1	RPN1	BRICD5
PCNT	FAM168B	YOD1	ARHGAP39	GATA2	PPP6R3	THAP9	PREX2	TRPC4AP	SREBF1	PLAU	S100A1	PRICKLE2	THEMIS2	FAT2	AC092620.1	DLGAP5	CENPE	RFX3	DOCK3	RNF139-AS1	C3
RECQL5	NMU	ZMIZ2	UACA	RPN1	PISD	PSMD6-AS1	GRHL2	SLC9A3-AS1	MIS18BP1	PLEC	CIP2A	ITPR2	PIK3CA	TPTE	REXO1	NUMA1	RC3H1	RUFY3	NAALADL2	SLC5A6	KIF18A
PFAS	CCN2	PISD	TMEM94	MDM4	MYBL2	ZYG11A	SGSM2	H2AFX	ZNF708	TOP2A	IGFBP5	INTS4	CEP55	TANC2	EBF3	CEP295	UBE2C	DIP2B	TTC7B	NFATC2IP	TRIM38
CHD3	FAM227A	ZNF778	IGF2BP2	TNFAIP2	KIF20B	ZNF607	SOS2	HSPA4L	MCM7	RAD51AP1	PLD2	NT5C2	ERBB4	LGR4	BDP1	IGFBP2	LRRIQ1	NT5C2	UBA1	PGM2L1	SUGP2
LINC01424	ARMH1	RNF215	RNF207	KRT81	MAPK1	AL353759.1	SLC4A11	CD47	LGALS3BP	CEP295	MTX3	LUC7L3	TPRA1	SIPA1L3	ARID4A	RAD54L	ATG14	ZBTB44	FGD6	CEP55	SLC7A5
SLPI	MAP3K2	CEP97	SIM1	TTBK2	CENPU	MALAT1	PIP5K1A	WDR17	CAPN12	ZNF607	H6PD	TPCN1	ZKSCAN1	TRAK1	SLC25A25-AS1	PBX1	ZFC3H1	VPS13A	MTMR1	GOLGA8B	PHIP
MEF2D	MUC16	FAM227A	SLC38A1	ARHGAP27	CCDC15	LRRIQ1	ATXN2L	DOCK6	NABP1	AC012020.1	WDR59	USP54	IFT80	BANP	ANKRD62	CCNL1	PUM2	ABL1	TACC3	RIF1	PLAG1
MPP3	FTX	FBXO46	FAM117B	MLH3	CXCL8	FAM168B	ELL2	XAGE2	OGDHL	ZNF316	TRIM38	NABP1	WDR37	LUC7L3	UHRF2	MCM8	ASH1L	SETX	PGM2L1	AGO2	TOP2B
SYT12	AUTS2	HDAC7	OSBPL11	ANKHD1	E4F1	RAB11FIP4	CRABP2	LGR4	PIP5K1A	SIM1	ADAMTS13	PISD	CDC27	TRIM66	MARCH6	IKBKB	RERE	GSE1	CLSPN	NUFIP2	SOGA1
IGFL2-AS1	NAA25	LINC02422	INAVA	MEGF6	AGO2	TET2	TNPO2	PHKA2	ZMIZ2	PIF1	DET1	ZNF644	INTS4	MED15	CIP2A	MFSD14C	DCAF5	VAV3	XAGE2	MRC2	KIF2C
TTBK2	INPP5B	NAB1	LIMD1	FBXO46	UNK	SSBP3	AGO2	SKA3	CLK2	PKN3	CRYBG3	CLEC16A	BRF1	STT3B	SPON1	CBFB	CEP85L	CDH6	RABGAP1L	CLSPN	CANX
CIC	BOD1L1	E4F1	KRT19	RNF150	MFSD14C	ZNF592	FAM168B	ADAMTS3	RHEX	STON2	CCNL2	NAALADL2	ABL1	RICTOR	ERBIN	TPX2	ADAMTS15	EHBP1	CEP55	SIM1	KLHL24
PHF2	TET2	BTBD2	SPOCK2	CCND1	LIMD1	ULK1	H2AFX	USH2A	CUEDC1	ZNF774	MIR29B2CHG	ABL1	TENT4A	ACAD11	H6PD	CCDC14	DDB1	GRHL2	KIF11	POLR1A	ANK3
